date,city,permit_type,permit_number,address,description
2015-02-08,houston,New Single Family Dwelling,1,1119 W 26TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-04,houston,New Single Family Dwelling,2,1121 W 26TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-01,houston,New Single Family Dwelling,3,1123 W 26TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-04,houston,New Single Family Dwelling,4,1125 W 26TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-13,houston,New Single Family Dwelling,5,1135 W 26TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-13,houston,New Single Family Dwelling,6,1135 W 26TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-09-24,houston,New Single Family Dwelling,7,4217  BELL ST,"Project: NEW DET. RES GARAGE W/ QUARTERS ABOVE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-23,houston,New Single Family Dwelling,8,1814  STATE ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-23,houston,New Single Family Dwelling,9,826  MANSFIELD ST,"Project: NEW S.F. RESIDENCE / NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-09,houston,New Single Family Dwelling,10,4625  TALINA WAY,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-07,houston,New Single Family Dwelling,11,1316  LAKIN ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-12-20,houston,New Single Family Dwelling,12,140  CARSON CT,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 5 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-12-20,houston,New Single Family Dwelling,13,144  CARSON CT,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST #13073162 / 06 IRC, Dwellings: 0, Buildings: 0"
2015-12-20,houston,New Single Family Dwelling,14,146  CARSON CT,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST #13073162 / 06 IRC, Dwellings: 0, Buildings: 0"
2015-12-20,houston,New Single Family Dwelling,15,150  CARSON CT,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST #13073162 / 06 IRC., Dwellings: 0, Buildings: 0"
2015-01-08,houston,New Single Family Dwelling,16,847  LOVERS LN,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-02,houston,New Single Family Dwelling,17,5915  ALFANO ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC / PAVILION, Dwellings: 1, Buildings: 1"
2015-02-02,houston,New Single Family Dwelling,18,5407  MYRTLEWOOD ST,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-21,houston,New Single Family Dwelling,19,6018  SANTA BERNADETTA,"Project: NEW S.F. RES W/ ATT GAR (REPEAT 1425 B-RT) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-08,houston,New Single Family Dwelling,20,838  GIBBS ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-23,houston,New Single Family Dwelling,21,518  NORTHWOOD ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-28,houston,New Single Family Dwelling,22,1825 W 24TH ST,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MALAGA GRANDE) 06 IBC, Dwellings: 1, Buildings: 1"
2015-01-28,houston,New Single Family Dwelling,23,1827 W 24TH ST,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MALAGA GRANDE) 06 IBC, Dwellings: 1, Buildings: 1"
2015-02-24,houston,New Single Family Dwelling,24,1814 W 25TH ST,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MALAGA GRANDE) 06 IBC, Dwellings: 1, Buildings: 1"
2015-03-18,houston,New Single Family Dwelling,25,1202  WICHITA ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 4 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-08,houston,New Single Family Dwelling,26,810  MILWAUKEE ST,"Project: NEW DET RES GARAGE W/ QUARTERS ABOVE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-25,houston,New Single Family Dwelling,27,4209 W OREM DR,"Project: NEW APARTMENT 1-1-3-R3-B 2006 IBC (2 OF 3), Dwellings: 1, Buildings: 1"
2015-02-18,houston,New Single Family Dwelling,28,623  BLUE IRIS  TRL,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-29,houston,New Single Family Dwelling,29,3807  SUMMA PLACE,"Project: NEW S.F. RES W/ ATT GAR (1-2-5-R3-B) M # 13115331 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-01,houston,New Single Family Dwelling,30,2212  WHITNEY ST,"Project: 3 STORY TOWNHOUSE W/ATT GAR (1-3-5-R3-B) 06 IRC MASTER 13119236, Dwellings: 1, Buildings: 1"
2015-10-01,houston,New Single Family Dwelling,31,2210  WHITNEY ST,"Project: 3 STORY TOWNHOUSE W/ATT GAR (1-3-5-R3-B)06 IRC MASTER 13119236, Dwellings: 1, Buildings: 1"
2015-05-04,houston,New Single Family Dwelling,32,12632  ASHFORD SHADOW DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-15,houston,New Single Family Dwelling,33,12640  ASHFORD SHADOW DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-04,houston,New Single Family Dwelling,34,12628  ASHFORD SHADOW DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-15,houston,New Single Family Dwelling,35,12636  ASHFORD SHADOW DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-09,houston,New Single Family Dwelling,36,1408  WESTHEIMER RD,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-25,houston,New Single Family Dwelling,37,12231  FOXTON RD,"Project: NEW S.F. RESIDENCE W/ OUTDOOR KITCHEN (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-14,houston,New Single Family Dwelling,38,5301  LARKIN ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-14,houston,New Single Family Dwelling,39,2113  DETERING ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-14,houston,New Single Family Dwelling,40,2115  DETERING ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-03,houston,New Single Family Dwelling,41,2113  SHERWIN ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-03,houston,New Single Family Dwelling,42,2111  SHERWIN ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 14000959 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-17,houston,New Single Family Dwelling,43,30 N SAINT CHARLES ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-10,houston,New Single Family Dwelling,44,34 N SAINT CHARLES ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-01,houston,New Single Family Dwelling,45,7721  ROSWELL ST,"Project: NEW DETACHED GUEST QUARTERS (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-06,houston,New Single Family Dwelling,46,1028 W 24TH ST,"Project: NEW S.F. RES W/ ATT GAR (REPEAT PLAN A) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-06,houston,New Single Family Dwelling,47,1026 W 24TH ST,"Project: NEW S.F. RES W/ ATT GAR (REPEAT PLAN A) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-06,houston,New Single Family Dwelling,48,1024 W 24TH ST,"Project: NEW S.F. RES W/ ATT GAR (REPEAT PLAN B) 09 IECC 10%, Dwellings: 1, Buildings: 1"
2015-01-29,houston,New Single Family Dwelling,49,5103  ALLEN ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-29,houston,New Single Family Dwelling,50,5105  ALLEN ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 14012621 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-09,houston,New Single Family Dwelling,51,5816  PATE RD,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-06,houston,New Single Family Dwelling,52,1613  FAIRVIEW ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-01,houston,New Single Family Dwelling,53,12604  ASHFORD SHADOW  DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-01,houston,New Single Family Dwelling,54,12607  ASHFORD SHORE  DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-01,houston,New Single Family Dwelling,55,12603  ASHFORD SHORE  DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-25,houston,New Single Family Dwelling,56,7907  ASHFORD TRACE  DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-12-14,houston,New Single Family Dwelling,57,7902  ASHFORD TRACE  DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-25,houston,New Single Family Dwelling,58,7903  ASHFORD TRACE  DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-08,houston,New Single Family Dwelling,59,15  SHADOW LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-01,houston,New Single Family Dwelling,60,7302  FITZHUGH ST,"Project: CONVERTING BUILDING TO RESIDENCE, Dwellings: 1, Buildings: 1"
2015-04-16,houston,New Single Family Dwelling,61,240  MAGNOLIA DR,"Project: NEW S.F. MODULAR RES - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-09,houston,New Single Family Dwelling,62,1818  WICHITA ST,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14024729/ 06 IBC, Dwellings: 1, Buildings: 1"
2015-04-09,houston,New Single Family Dwelling,63,1818  WICHITA ST,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) MST OF 2 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-05-10,houston,New Single Family Dwelling,64,1818  WICHITA ST,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) MST OF 2 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-05-10,houston,New Single Family Dwelling,65,1818  WICHITA ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-09,houston,New Single Family Dwelling,66,1818  WICHITA ST,"Project: TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 14024740 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-09,houston,New Single Family Dwelling,67,1818  WICHITA ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-10,houston,New Single Family Dwelling,68,1818  WICHITA ST,"Project: TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 14024733 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-10,houston,New Single Family Dwelling,69,1818  WICHITA ST,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14024732 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-03-18,houston,New Single Family Dwelling,70,1208  WICHITA ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 13105600 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-18,houston,New Single Family Dwelling,71,1206  WICHITA ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 13105600 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-18,houston,New Single Family Dwelling,72,1204  WICHITA ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 13105600 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-08,houston,New Single Family Dwelling,73,1424  WRIGHTWOOD ST,"Project: 4 STORY S.F. RES W/ ATT GAR (1-4-5-R3-B-13R) 06 IBC, Dwellings: 1, Buildings: 1"
2015-06-14,houston,New Single Family Dwelling,74,1219 W 25TH ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-16,houston,New Single Family Dwelling,75,1219 W 25TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-16,houston,New Single Family Dwelling,76,1219 W 25TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-14,houston,New Single Family Dwelling,77,1219 W 25TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-16,houston,New Single Family Dwelling,78,1219 W 25TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-16,houston,New Single Family Dwelling,79,1219 W 25TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-12-07,houston,New Single Family Dwelling,80,2407  DRISCOLL ST,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) MST OF 2 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-08-23,houston,New Single Family Dwelling,81,2409  DRISCOLL ST,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14033416 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-02-10,houston,New Single Family Dwelling,82,14327  BAIAMONTE ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-08,houston,New Single Family Dwelling,83,2320  COHN ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-11,houston,New Single Family Dwelling,84,2318  COHN ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-09-13,houston,New Single Family Dwelling,85,2310  SAXON DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-28,houston,New Single Family Dwelling,86,2314  SAINT CHARLES ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) MST OF 3 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-28,houston,New Single Family Dwelling,87,2314  SAINT CHARLES ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14037275 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-28,houston,New Single Family Dwelling,88,2314  SAINT CHARLES ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14037275 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-08,houston,New Single Family Dwelling,89,3848  GLEN ARBOR DR,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) MST OF 3 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-01-29,houston,New Single Family Dwelling,90,1610  EAST ROSE TERRACE  LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-08,houston,New Single Family Dwelling,91,3852  GLEN ARBOR DR,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14037533 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-01-08,houston,New Single Family Dwelling,92,3850  GLEN ARBOR DR,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14037533 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-05-21,houston,New Single Family Dwelling,93,1421  WEISS ST,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-24,houston,New Single Family Dwelling,94,1712  WROXTON CT,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-03,houston,New Single Family Dwelling,95,7718  LINDA ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-18,houston,New Single Family Dwelling,96,8000  BECKLEY ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-23,houston,New Single Family Dwelling,97,5683  LONGMONT DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-04,houston,New Single Family Dwelling,98,7316  SCHILLER ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-15,houston,New Single Family Dwelling,99,7610  TULLY ST,"Project: NEW S.F. RESIDENCE W/ EXISTING GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-03,houston,New Single Family Dwelling,100,318  CINNAMON OAK LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-28,houston,New Single Family Dwelling,101,833 W 19TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-18,houston,New Single Family Dwelling,102,835 W 19TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-18,houston,New Single Family Dwelling,103,837 W 19TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-18,houston,New Single Family Dwelling,104,839 W 19TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-18,houston,New Single Family Dwelling,105,841 W 19TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-28,houston,New Single Family Dwelling,106,843 W 19TH ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-03,houston,New Single Family Dwelling,107,1014  LIVE OAK ST,"Project: NEW TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-03,houston,New Single Family Dwelling,108,1015  SAINT CHARLES ST,"Project: TOWNHOUSE W/ ATT GAR (1-3-5-R3-B) M # 14050633 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,109,1550 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,110,1546 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,111,1542 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,112,1538 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,113,1534 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,114,1530 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,115,1526 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-15,houston,New Single Family Dwelling,116,1522 N DURHAM DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-25,houston,New Single Family Dwelling,117,1602 W 22ND ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-25,houston,New Single Family Dwelling,118,1602 W 22ND ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14051069 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-10,houston,New Single Family Dwelling,119,238 W 27TH ST,"Project: NEW S.F. RES & DET GAR W/ QUARTERS ABOVE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-10,houston,New Single Family Dwelling,120,238 W 27TH ST,"Project: NEW S.F. RES & DET GAR W/ QUARTERS ABOVE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-20,houston,New Single Family Dwelling,121,2009  SHEARN ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) MST OF 3 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-20,houston,New Single Family Dwelling,122,2011  SHEARN ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14051767 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-20,houston,New Single Family Dwelling,123,2013  SHEARN ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14051767 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-20,houston,New Single Family Dwelling,124,2019  SHEARN ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) MST OF 3 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-20,houston,New Single Family Dwelling,125,2017  SHEARN ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14051778 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-20,houston,New Single Family Dwelling,126,2015  SHEARN ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 14051778 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-02-12,houston,New Single Family Dwelling,127,3846  GLEN ARBOR DR,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14052843 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-02-12,houston,New Single Family Dwelling,128,3844  GLEN ARBOR DR,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) M # 14052843 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-02-12,houston,New Single Family Dwelling,129,3842  GLEN ARBOR DR,"Project: 4 STORY T/H W/ ATT GAR (1-4-5-R3-B-13R) MST OF 3 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-03-12,houston,New Single Family Dwelling,130,6613  DEL RIO ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 0, Buildings: 1"
2015-05-18,houston,New Single Family Dwelling,131,5622  COHN MEADOW  LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-25,houston,New Single Family Dwelling,132,5617  COHN TERRACE  LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-04,houston,New Single Family Dwelling,133,2425  NANTUCKET DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-01-26,houston,New Single Family Dwelling,134,2425  NANTUCKET DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-10-08,houston,New Single Family Dwelling,135,1626 W 24TH ST,"Project: 3 STORY RES W/ ATT GAR (1-3-5-R3-B) MST OF 3 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-10-08,houston,New Single Family Dwelling,136,1628 W 24TH ST,"Project: 3 STORY RES W/ ATT GAR (1-3-5-R3-B) M # 14056159 / 06 IBC, Dwellings: 1, Buildings: 1"
2015-10-08,houston,New Single Family Dwelling,137,1630 W 24TH ST,"Project: 3 STORY RES W/ ATT GAR (1-3-5-R3-B) M # 14056159 / 06 IBC, Dwellings: 1, Buildings: 1"
